"ID";"parentID";"pathPos";"Titel_";"Content1";"Content2";"Content3";"SensorenAktoren";"Screenshot";"len_img";"DB";"Depth"
"1";;"001.";"Functional specification";;"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";1
"751A5AB7220B492DA39D73B2F873CD9F";"1";"001.001.";"Purpose of the document";"This document is the Functional Specification (FS) for the scope of the project.

It is based on the piping and instrumentation diagram.

It defines how the projected process equipment complies with the requirements for the system.";"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";2
"F19405AE27FA44F9BF34D846842C73FB";"1";"001.002.";"References";"Project: Enrobing Line
Client: FBC2 - Fox's Burton's Companies  
Order Number: 611392 / 7000 007 465  
Flowsheet: FS611392-06  
P&IDs:
  - 8-210-025-283: Coating Mass Kitchen
  - 8-210-025-177: Enrober and Cooling Tunnel";"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";2
"D6DEA50B96E049239C390841364C8559";"1";"001.003.";"Production line";;"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";2
"27BD5FDB5BF940D2BB69348453CBA5A4";"D6DEA50B96E049239C390841364C8559";"001.003.001.";"Purpose of the line";"Main purpose of the line is:
- Enrobing baked products with chocolate or CBR (cocoa butter replacement) and removing loose good that have been sprinkled on the enrobed products.

This process consists of the following sub-processes:
- Enrobing
- Sprinkling (customer side equipment)
- Cooling
- Removing loose sprinkling good

The CBR handling included the reception of the melted mass in a sieve, buffering in a day tank, tempering, use in the enrober, de-tempering and return to the sieve.";"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";3
"C08B78433103418D8B6AC1849CD80FDA";"27BD5FDB5BF940D2BB69348453CBA5A4";"001.003.001.001.";"Components";"The production components of the line are:
- One day tank of 3000 l, with filter
- One Temperer TMT 1000
- One enrobing machine UT
  - with 2 mass hoppers for Raffaello mass 
  - and 1 for chocolate mass
- One decrystallizer
- One cooling tunnel
- One blow-off unit

The cleaning components consist of
- 2 cleaning oil (palm fat) containers
- one pigging system";"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";4
"31D6804B28AE4AB3AF8C3C41D693DD19";"27BD5FDB5BF940D2BB69348453CBA5A4";"001.003.001.002.";"CBR production mode";;"-";"-";;;1002341;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";4
"E8803D5CBFED4663A10685970250B107";"27BD5FDB5BF940D2BB69348453CBA5A4";"001.003.001.003.";"Chocolate production mode";;"-";"-";;;916555;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";4
"BF6DA002837644D9BAB9781F6E892363";"27BD5FDB5BF940D2BB69348453CBA5A4";"001.003.001.004.";"Controls and electrical cabinets";"Controls & Machines:
DC.1
    Day tank
    sieve
    de-crystallizer
TMT.1
    Temperer TMT 1000
UX.1
    Enrober UT
    Cooling tunnel CKV
    Blow-off unit

Attention:  
The 2 separate tempering units require separate electrical connections.";"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";4
"F23F8BB0630A4780B068533296BB95D4";"D6DEA50B96E049239C390841364C8559";"001.003.002.";"Interfaces";"The P&ID provides as attached report an extensive list of all mains and product connections to the client's facility.

Each interface is described by:
- a tag in the form Machinecode-I-Fluidcode-Running number
- a short descriptive name to facilitate its localisation on the equipment
- the x and y coordinates on the P&ID
- the peak and the mean consumption
- the size and the type (norm)
- local requirements when they differ from the general ones

Drain connections are put at the lowest points of pipelines. They are defined during the detailing phase of the project.";"-";"-";;;;"Z:\060_PORTFOLIO\000_Übergreifend\Funktionsbeschreibungen\FS_FBC2_611392.accdb";3
